,algorithm,dim,difficulty,index_map,distance,ram,time
245,bfs,50,D,6,98.0,332108.0,0.04287188500165939
246,bfs,50,D,7,98.0,263476.0,0.02707862900570035
247,bfs,50,D,8,98.0,305892.0,0.036891488009132445
248,bfs,50,D,9,98.0,343188.0,0.042768582003191113
249,bfs,50,D,10,98.0,349604.0,0.044153019989607856
250,kohonen,50,D,1,164.32392838189176,30091.0,677.0664177319995
251,kohonen,50,D,2,155.28563015129393,30091.0,644.0427790999966
252,kohonen,50,D,3,176.960797536562,30091.0,627.8368938200001
253,kohonen,50,D,4,1.300777034561271e+16,30091.0,633.6055989849992
254,kohonen,50,D,5,163.6021097920691,30091.0,618.6279887860001
255,kohonen,50,D,6,190.33106844216027,30091.0,620.6391080129979
256,kohonen,50,D,7,inf,34488.0,627.6238011269961
257,kohonen,50,D,8,228.0743057054502,30091.0,618.2688227149993
258,kohonen,50,D,9,179.09818686792133,30091.0,613.9268424809998
259,kohonen,50,D,10,179.9184559051343,30091.0,614.8959423499982
260,prog_din,50,D,1,98.0,26779.0,0.5068308689951664
261,prog_din,50,D,2,98.0,26779.0,0.4594868359999964
262,prog_din,50,D,3,98.0,26779.0,0.47283533999870997
263,prog_din,50,D,4,98.0,26779.0,0.35380082999472506
264,prog_din,50,D,5,98.0,26779.0,0.5041023160010809
265,prog_din,50,D,6,98.0,26779.0,0.46538589599367697
266,prog_din,50,D,7,98.0,26779.0,0.31631121500686277
267,prog_din,50,D,8,98.0,26779.0,0.4127840559958713
268,prog_din,50,D,9,98.0,26779.0,0.48938795299909543
269,prog_din,50,D,10,98.0,26779.0,0.5051818359934259
